order_item_id,order_id,product_sku,quantity,unit_price_credits
OI-0000001,ORD-100001,HYDRO-KIT-START,4,314.08
OI-0000002,ORD-100001,NAV-COMP-ELITE,3,9487.89
OI-0000003,ORD-100001,SOLAR-LIGHT-LED,2,168.40
OI-0000004,ORD-100001,RAD-SHIELD-VEST,7,789.23
OI-0000005,ORD-100002,ION-DRIVE-MK3,6,41663.33
OI-0000006,ORD-100002,HYDRO-KIT-START,5,355.12
OI-0000007,ORD-100002,ZERO-G-BED,6,2094.65
OI-0000008,ORD-100002,EMERG-KIT-DELUXE,4,694.27
OI-0000009,ORD-100003,RAD-SHIELD-VEST,6,900.68
OI-0000010,ORD-100003,ION-DRIVE-MK3,8,47461.73
OI-0000011,ORD-100003,RATION-PACK-30,3,489.13
OI-0000012,ORD-100003,THERMO-REG-3000,7,1444.28
OI-0000013,ORD-100004,QUANTUM-PROC-Q5,8,11582.10
OI-0000014,ORD-100004,SOLAR-LIGHT-LED,5,201.06
OI-0000015,ORD-100005,ZERO-G-BALL-SET,2,128.19
OI-0000016,ORD-100005,ION-DRIVE-MK3,2,44673.39
OI-0000017,ORD-100006,THERMO-REG-3000,6,1522.75
OI-0000018,ORD-100006,LASER-DRILL-IND,7,39112.66
OI-0000019,ORD-100006,EMERG-KIT-DELUXE,5,645.64
OI-0000020,ORD-100007,ION-DRIVE-MK3,7,46841.26
OI-0000021,ORD-100008,VR-ENTERTAIN-SYS,1,1054.99
OI-0000022,ORD-100008,H2O-REC-PRO,7,3507.28
OI-0000023,ORD-100008,RATION-PACK-30,7,454.51
OI-0000024,ORD-100008,THERMO-REG-3000,8,1517.90
OI-0000025,ORD-100009,ZERO-G-BALL-SET,8,121.82
OI-0000026,ORD-100009,ION-DRIVE-MK3,1,44922.46
OI-0000027,ORD-100009,RAD-SHIELD-VEST,7,886.88
OI-0000028,ORD-100010,SOLAR-LIGHT-LED,6,167.63
OI-0000029,ORD-100010,HULL-PLATE-TI,4,1160.31
OI-0000030,ORD-100010,QUANTUM-PROC-Q5,2,13224.93
OI-0000031,ORD-100010,AIR-SCRUB-X,5,1697.21
OI-0000032,ORD-100010,ION-DRIVE-MK3,1,46245.75
OI-0000033,ORD-100011,NAV-COMP-ELITE,6,8664.44
OI-0000034,ORD-100012,AIR-SCRUB-X,2,1869.07
OI-0000035,ORD-100013,QUANTUM-PROC-Q5,5,12078.99
OI-0000036,ORD-100013,VR-ENTERTAIN-SYS,6,912.01
OI-0000037,ORD-100013,THERMO-REG-3000,5,1567.49
OI-0000038,ORD-100014,EVA-SUIT-MK7,5,31008.11
OI-0000039,ORD-100014,VR-ENTERTAIN-SYS,7,1051.58
OI-0000040,ORD-100014,SELDON-CRYO-ICE,1,46.10
OI-0000041,ORD-100015,LASER-DRILL-IND,4,35041.06
OI-0000042,ORD-100016,OXY-GEN-5000,5,2694.83
OI-0000043,ORD-100017,THERMO-REG-3000,3,1450.81
OI-0000044,ORD-100017,ZERO-G-BALL-SET,2,122.93
OI-0000045,ORD-100017,ZERO-G-BALL-SET,5,122.31
OI-0000046,ORD-100017,AIR-SCRUB-X,4,1871.94
OI-0000047,ORD-100018,VR-ENTERTAIN-SYS,6,1006.93
OI-0000048,ORD-100019,H2O-REC-PRO,4,3105.91
OI-0000049,ORD-100019,THERMO-REG-3000,5,1571.68
OI-0000050,ORD-100019,ZERO-G-BED,2,2259.36
OI-0000051,ORD-100019,HULL-PLATE-TI,8,1197.23
OI-0000052,ORD-100020,ION-DRIVE-MK3,8,47082.17
OI-0000053,ORD-100020,SELDON-CRYO-ICE,7,48.50
OI-0000054,ORD-100021,VR-ENTERTAIN-SYS,6,960.12
OI-0000055,ORD-100021,OXY-GEN-5000,1,2620.69
OI-0000056,ORD-100021,ION-DRIVE-MK3,8,48519.17
OI-0000057,ORD-100022,SELDON-CRYO-ICE,3,49.02
OI-0000058,ORD-100022,SOLAR-LIGHT-LED,6,181.85
OI-0000059,ORD-100023,SELDON-CRYO-ICE,4,49.56
OI-0000060,ORD-100023,EVA-SUIT-MK7,4,27225.99
OI-0000061,ORD-100023,ION-DRIVE-MK3,1,45009.31
OI-0000062,ORD-100024,EMERG-KIT-DELUXE,7,730.78
OI-0000063,ORD-100025,NAV-COMP-ELITE,5,9055.40
OI-0000064,ORD-100026,MULTI-SENSOR-PRO,7,4758.17
OI-0000065,ORD-100027,H2O-REC-PRO,1,3106.34
OI-0000066,ORD-100027,LASER-DRILL-IND,7,34317.55
OI-0000067,ORD-100027,THERMO-REG-3000,6,1419.67
OI-0000068,ORD-100028,RAD-SHIELD-VEST,5,909.13
OI-0000069,ORD-100028,SOLAR-LIGHT-LED,5,198.10
OI-0000070,ORD-100028,COMM-ARRAY-LR,5,6959.08
OI-0000071,ORD-100028,SOLAR-LIGHT-LED,3,176.96
OI-0000072,ORD-100028,RAD-SHIELD-VEST,3,876.46
OI-0000073,ORD-100029,RAD-SHIELD-VEST,1,857.06
OI-0000074,ORD-100029,VR-ENTERTAIN-SYS,8,960.97
OI-0000075,ORD-100030,ZERO-G-BALL-SET,4,124.41
OI-0000076,ORD-100030,OXY-GEN-5000,3,2508.21
OI-0000077,ORD-100031,RAD-SHIELD-VEST,8,888.82
OI-0000078,ORD-100031,COMM-ARRAY-LR,1,6704.02
OI-0000079,ORD-100031,H2O-REC-PRO,8,3151.95
OI-0000080,ORD-100032,H2O-REC-PRO,2,3294.18
OI-0000081,ORD-100032,LASER-DRILL-IND,7,32847.86
OI-0000082,ORD-100033,QUANTUM-PROC-Q5,3,11901.71
OI-0000083,ORD-100033,RATION-PACK-30,6,460.14
OI-0000084,ORD-100033,RAD-SHIELD-VEST,8,932.52
OI-0000085,ORD-100034,SELDON-CRYO-ICE,3,49.78
OI-0000086,ORD-100034,EMERG-KIT-DELUXE,2,665.14
OI-0000087,ORD-100034,SOLAR-LIGHT-LED,2,198.26
OI-0000088,ORD-100035,ZERO-G-BALL-SET,5,118.93
OI-0000089,ORD-100035,ZERO-G-BALL-SET,2,128.85
OI-0000090,ORD-100036,LASER-DRILL-IND,5,34589.34
OI-0000091,ORD-100036,ION-DRIVE-MK3,4,43065.79
OI-0000092,ORD-100036,LASER-DRILL-IND,5,38301.31
OI-0000093,ORD-100037,THERMO-REG-3000,5,1406.29
OI-0000094,ORD-100037,HYDRO-KIT-START,1,306.61
OI-0000095,ORD-100037,OXY-GEN-5000,4,2729.51
OI-0000096,ORD-100038,EVA-SUIT-MK7,8,28400.34
OI-0000097,ORD-100038,EVA-SUIT-MK7,4,26887.50
OI-0000098,ORD-100038,ZERO-G-BALL-SET,7,111.62
OI-0000099,ORD-100039,RAD-SHIELD-VEST,4,903.43
OI-0000100,ORD-100039,EMERG-KIT-DELUXE,1,682.99
OI-0000101,ORD-100039,MULTI-SENSOR-PRO,2,4381.06
OI-0000102,ORD-100040,ZERO-G-BALL-SET,6,132.52
OI-0000103,ORD-100040,EVA-SUIT-MK7,3,30705.77
OI-0000104,ORD-100041,RATION-PACK-30,7,498.87
OI-0000105,ORD-100041,RAD-SHIELD-VEST,5,821.90
OI-0000106,ORD-100041,VR-ENTERTAIN-SYS,1,1063.86
OI-0000107,ORD-100042,MULTI-SENSOR-PRO,6,4832.44
OI-0000108,ORD-100043,EVA-SUIT-MK7,8,31150.82
OI-0000109,ORD-100043,RATION-PACK-30,2,484.35
OI-0000110,ORD-100043,LASER-DRILL-IND,2,37965.27
OI-0000111,ORD-100043,H2O-REC-PRO,2,3050.91
OI-0000112,ORD-100044,NAV-COMP-ELITE,8,9468.38
OI-0000113,ORD-100045,HULL-PLATE-TI,3,1296.42
OI-0000114,ORD-100045,SOLAR-LIGHT-LED,7,197.93
OI-0000115,ORD-100046,SELDON-CRYO-ICE,3,49.52
OI-0000116,ORD-100047,THERMO-REG-3000,8,1573.16
OI-0000117,ORD-100048,VR-ENTERTAIN-SYS,5,914.61
OI-0000118,ORD-100049,COMM-ARRAY-LR,6,6424.39
OI-0000119,ORD-100049,SELDON-CRYO-ICE,2,45.44
OI-0000120,ORD-100049,ZERO-G-BALL-SET,1,121.28
OI-0000121,ORD-100049,HULL-PLATE-TI,4,1188.08
OI-0000122,ORD-100050,RATION-PACK-30,6,460.48
OI-0000123,ORD-100050,NAV-COMP-ELITE,6,8592.33
OI-0000124,ORD-100050,HYDRO-KIT-START,7,347.42
OI-0000125,ORD-100051,VR-ENTERTAIN-SYS,7,1039.68
OI-0000126,ORD-100051,ZERO-G-BALL-SET,8,125.68
OI-0000127,ORD-100052,NAV-COMP-ELITE,8,8624.70
OI-0000128,ORD-100052,ION-DRIVE-MK3,6,49695.28
OI-0000129,ORD-100053,RATION-PACK-30,6,441.44
OI-0000130,ORD-100053,ZERO-G-BED,5,2153.35
OI-0000131,ORD-100054,SOLAR-LIGHT-LED,8,186.23
OI-0000132,ORD-100054,ZERO-G-BALL-SET,8,132.01
OI-0000133,ORD-100054,THERMO-REG-3000,8,1630.34
OI-0000134,ORD-100054,LASER-DRILL-IND,3,37533.66
OI-0000135,ORD-100055,LASER-DRILL-IND,7,34910.65
OI-0000136,ORD-100055,THERMO-REG-3000,6,1542.30
OI-0000137,ORD-100056,LASER-DRILL-IND,1,38901.05
OI-0000138,ORD-100057,VR-ENTERTAIN-SYS,6,950.34
OI-0000139,ORD-100058,AIR-SCRUB-X,3,1766.45
OI-0000140,ORD-100059,H2O-REC-PRO,4,3097.36
OI-0000141,ORD-100059,LASER-DRILL-IND,4,35650.86
OI-0000142,ORD-100059,EMERG-KIT-DELUXE,7,754.71
OI-0000143,ORD-100059,COMM-ARRAY-LR,1,6688.94
OI-0000144,ORD-100060,VR-ENTERTAIN-SYS,3,931.88
OI-0000145,ORD-100061,HULL-PLATE-TI,7,1334.72
OI-0000146,ORD-100061,VR-ENTERTAIN-SYS,8,881.94
OI-0000147,ORD-100061,EVA-SUIT-MK7,5,29417.13
OI-0000148,ORD-100061,ION-DRIVE-MK3,1,41941.58
OI-0000149,ORD-100061,RAD-SHIELD-VEST,5,883.64
OI-0000150,ORD-100062,VR-ENTERTAIN-SYS,5,1040.87
OI-0000151,ORD-100062,NAV-COMP-ELITE,6,9322.68
OI-0000152,ORD-100062,MULTI-SENSOR-PRO,5,5021.68
OI-0000153,ORD-100062,EVA-SUIT-MK7,5,27137.20
OI-0000154,ORD-100063,OXY-GEN-5000,8,2302.14
OI-0000155,ORD-100063,OXY-GEN-5000,3,2506.58
OI-0000156,ORD-100063,RAD-SHIELD-VEST,7,873.48
OI-0000157,ORD-100064,ZERO-G-BED,7,2101.96
OI-0000158,ORD-100064,OXY-GEN-5000,2,2531.35
OI-0000159,ORD-100064,NAV-COMP-ELITE,8,7835.92
OI-0000160,ORD-100064,OXY-GEN-5000,5,2640.28
OI-0000161,ORD-100065,RATION-PACK-30,5,465.22
OI-0000162,ORD-100065,RAD-SHIELD-VEST,3,875.80
OI-0000163,ORD-100065,ZERO-G-BALL-SET,3,111.97
OI-0000164,ORD-100066,COMM-ARRAY-LR,4,7408.83
OI-0000165,ORD-100066,OXY-GEN-5000,5,2640.34
OI-0000166,ORD-100066,EVA-SUIT-MK7,1,31012.19
OI-0000167,ORD-100067,COMM-ARRAY-LR,7,6980.08
OI-0000168,ORD-100068,SOLAR-LIGHT-LED,1,186.93
OI-0000169,ORD-100069,ZERO-G-BALL-SET,2,112.45
OI-0000170,ORD-100069,H2O-REC-PRO,1,3185.53
OI-0000171,ORD-100069,AIR-SCRUB-X,3,1678.32
OI-0000172,ORD-100070,LASER-DRILL-IND,1,35373.88
OI-0000173,ORD-100070,EVA-SUIT-MK7,7,30687.65
OI-0000174,ORD-100070,LASER-DRILL-IND,2,34577.32
OI-0000175,ORD-100070,OXY-GEN-5000,8,2558.61
OI-0000176,ORD-100071,HULL-PLATE-TI,3,1295.29
OI-0000177,ORD-100071,H2O-REC-PRO,3,3143.47
OI-0000178,ORD-100072,HYDRO-KIT-START,1,309.59
OI-0000179,ORD-100072,VR-ENTERTAIN-SYS,1,954.19
OI-0000180,ORD-100072,NAV-COMP-ELITE,4,8908.94
OI-0000181,ORD-100073,MULTI-SENSOR-PRO,6,4694.49
OI-0000182,ORD-100073,SOLAR-LIGHT-LED,6,171.44
OI-0000183,ORD-100074,OXY-GEN-5000,6,2304.95
OI-0000184,ORD-100074,ZERO-G-BED,1,2268.06
OI-0000185,ORD-100075,ION-DRIVE-MK3,5,49595.84
OI-0000186,ORD-100076,LASER-DRILL-IND,7,38348.71
OI-0000187,ORD-100076,AIR-SCRUB-X,2,1708.00
OI-0000188,ORD-100076,HYDRO-KIT-START,4,306.67
OI-0000189,ORD-100076,THERMO-REG-3000,6,1475.39
OI-0000190,ORD-100076,SOLAR-LIGHT-LED,4,198.76
OI-0000191,ORD-100077,LASER-DRILL-IND,2,33372.03
OI-0000192,ORD-100077,THERMO-REG-3000,6,1529.58
OI-0000193,ORD-100077,EVA-SUIT-MK7,3,27562.21
OI-0000194,ORD-100078,THERMO-REG-3000,3,1660.65
OI-0000195,ORD-100078,ZERO-G-BED,5,2266.24
OI-0000196,ORD-100079,MULTI-SENSOR-PRO,5,4484.13
OI-0000197,ORD-100079,ION-DRIVE-MK3,8,43504.11
OI-0000198,ORD-100079,SELDON-CRYO-ICE,2,44.63
OI-0000199,ORD-100079,AIR-SCRUB-X,5,1959.34
OI-0000200,ORD-100080,COMM-ARRAY-LR,4,7215.67
OI-0000201,ORD-100080,HYDRO-KIT-START,5,294.95
OI-0000202,ORD-100080,QUANTUM-PROC-Q5,5,13013.54
OI-0000203,ORD-100080,THERMO-REG-3000,7,1626.56
OI-0000204,ORD-100081,SOLAR-LIGHT-LED,4,181.39
OI-0000205,ORD-100081,VR-ENTERTAIN-SYS,1,945.19
OI-0000206,ORD-100082,H2O-REC-PRO,3,3042.36
OI-0000207,ORD-100083,ION-DRIVE-MK3,2,47473.97
OI-0000208,ORD-100083,ION-DRIVE-MK3,1,48838.27
OI-0000209,ORD-100084,QUANTUM-PROC-Q5,2,12131.19
OI-0000210,ORD-100085,NAV-COMP-ELITE,5,8554.74
OI-0000211,ORD-100086,EVA-SUIT-MK7,5,26889.54
OI-0000212,ORD-100086,HYDRO-KIT-START,8,298.49
OI-0000213,ORD-100087,QUANTUM-PROC-Q5,7,12511.27
OI-0000214,ORD-100087,ION-DRIVE-MK3,7,43642.21
OI-0000215,ORD-100087,LASER-DRILL-IND,7,35404.80
OI-0000216,ORD-100088,NAV-COMP-ELITE,8,8519.17
OI-0000217,ORD-100088,VR-ENTERTAIN-SYS,2,1063.11
OI-0000218,ORD-100088,AIR-SCRUB-X,2,1837.58
OI-0000219,ORD-100089,H2O-REC-PRO,1,3104.39
OI-0000220,ORD-100090,OXY-GEN-5000,2,2388.62
OI-0000221,ORD-100091,H2O-REC-PRO,2,3194.00
OI-0000222,ORD-100092,ZERO-G-BED,4,2111.99
OI-0000223,ORD-100092,OXY-GEN-5000,7,2313.97
OI-0000224,ORD-100092,OXY-GEN-5000,6,2710.26
OI-0000225,ORD-100092,AIR-SCRUB-X,4,2001.15
OI-0000226,ORD-100093,SOLAR-LIGHT-LED,2,173.97
OI-0000227,ORD-100093,RATION-PACK-30,6,443.10
OI-0000228,ORD-100094,LASER-DRILL-IND,8,39081.72
OI-0000229,ORD-100094,RATION-PACK-30,3,436.67
OI-0000230,ORD-100095,ZERO-G-BALL-SET,8,119.58
OI-0000231,ORD-100095,SELDON-CRYO-ICE,4,45.93
OI-0000232,ORD-100095,OXY-GEN-5000,4,2310.61
OI-0000233,ORD-100096,EVA-SUIT-MK7,6,26511.90
OI-0000234,ORD-100096,MULTI-SENSOR-PRO,1,4608.79
OI-0000235,ORD-100096,SOLAR-LIGHT-LED,5,192.62
OI-0000236,ORD-100096,HULL-PLATE-TI,6,1186.25
OI-0000237,ORD-100096,NAV-COMP-ELITE,1,9361.27
OI-0000238,ORD-100097,NAV-COMP-ELITE,1,8898.42
OI-0000239,ORD-100098,EMERG-KIT-DELUXE,2,683.57
OI-0000240,ORD-100099,ZERO-G-BED,7,2190.20
OI-0000241,ORD-100099,RAD-SHIELD-VEST,8,853.86
OI-0000242,ORD-100099,LASER-DRILL-IND,7,37522.27
OI-0000243,ORD-100099,RAD-SHIELD-VEST,1,911.53
OI-0000244,ORD-100099,SOLAR-LIGHT-LED,2,192.92
OI-0000245,ORD-100100,NAV-COMP-ELITE,1,7841.82
OI-0000246,ORD-100101,ZERO-G-BALL-SET,3,115.06
OI-0000247,ORD-100101,SOLAR-LIGHT-LED,5,193.37
OI-0000248,ORD-100102,OXY-GEN-5000,3,2430.67
OI-0000249,ORD-100102,EVA-SUIT-MK7,3,27184.01
