price_id,product_id,planet_id,price_credits,currency,valid_from,valid_to,price_type
1,1,,2500.00,GC,2026-01-01 00:00:00,,standard
2,2,,3200.00,GC,2026-01-01 00:00:00,,standard
3,3,,1800.00,GC,2026-01-01 00:00:00,,standard
4,4,,450.00,GC,2026-01-01 00:00:00,,standard
5,5,,320.00,GC,2026-01-01 00:00:00,,standard
6,6,,45000.00,GC,2026-01-01 00:00:00,,standard
7,7,,8500.00,GC,2026-01-01 00:00:00,,standard
8,8,,1200.00,GC,2026-01-01 00:00:00,,standard
9,9,,6800.00,GC,2026-01-01 00:00:00,,standard
10,10,,12000.00,GC,2026-01-01 00:00:00,,standard
11,11,,4500.00,GC,2026-01-01 00:00:00,,standard
12,12,,2200.00,GC,2026-01-01 00:00:00,,standard
13,13,,1500.00,GC,2026-01-01 00:00:00,,standard
14,14,,180.00,GC,2026-01-01 00:00:00,,standard
15,15,,28000.00,GC,2026-01-01 00:00:00,,standard
16,16,,850.00,GC,2026-01-01 00:00:00,,standard
17,17,,680.00,GC,2026-01-01 00:00:00,,standard
18,18,,950.00,GC,2026-01-01 00:00:00,,standard
19,19,,120.00,GC,2026-01-01 00:00:00,,standard
20,20,,35000.00,GC,2026-01-01 00:00:00,,standard

